Date,Mkt-RF,SMB,HML,RF
201007,    6.93,    0.20,   -0.31,    0.01
201008,   -4.77,   -3.00,   -1.90,    0.01
201009,    9.54,    3.96,   -3.16,    0.01
201010,    3.88,    1.14,   -2.43,    0.01
201011,    0.60,    3.77,   -0.96,    0.01
201012,    6.82,    0.73,    3.70,    0.01
201101,    1.99,   -2.50,    0.83,    0.01
201102,    3.49,    1.53,    1.27,    0.01
201103,    0.46,    2.54,   -1.83,    0.01
201104,    2.90,   -0.38,   -2.43,    0.00
201105,   -1.27,   -0.59,   -2.12,    0.00
201106,   -1.75,   -0.12,   -0.42,    0.00
201107,   -2.35,   -1.26,   -0.90,    0.00
201108,   -5.99,   -3.05,   -2.36,    0.01
201109,   -7.59,   -3.31,   -1.72,    0.00
201110,   11.35,    3.28,    0.10,    0.00
201111,   -0.28,   -0.16,   -0.46,    0.00
201112,    0.74,   -0.59,    1.63,    0.00
201201,    5.05,    2.04,   -0.97,    0.00
201202,    4.42,   -1.85,    0.43,    0.00
201203,    3.11,   -0.64,    1.14,    0.00
201204,   -0.85,   -0.42,   -0.78,    0.00
201205,   -6.19,    0.07,   -1.07,    0.01
201206,    3.89,    0.67,    0.62,    0.00
201207,    0.79,   -2.74,   -0.02,    0.00
201208,    2.55,    0.47,    1.30,    0.01
201209,    2.73,    0.50,    1.60,    0.01
201210,   -1.76,   -1.15,    3.59,    0.01
201211,    0.78,    0.63,   -0.84,    0.01
201212,    1.18,    1.48,    3.51,    0.01
201301,    5.57,    0.33,    0.96,    0.00
201302,    1.29,   -0.27,    0.11,    0.00
201303,    4.03,    0.81,   -0.19,    0.00
201304,    1.55,   -2.37,    0.45,    0.00
201305,    2.80,    1.70,    2.63,    0.00
201306,   -1.20,    1.33,    0.03,    0.00
201307,    5.65,    1.87,    0.57,    0.00
201308,   -2.71,    0.27,   -2.69,    0.00
201309,    3.77,    2.88,   -1.22,    0.00
201310,    4.18,   -1.53,    1.25,    0.00
201311,    3.13,    1.29,    0.32,    0.00
201312,    2.81,   -0.46,   -0.02,    0.00
201401,   -3.32,    0.89,   -2.07,    0.00
201402,    4.65,    0.35,   -0.31,    0.00
201403,    0.43,   -1.81,    4.93,    0.00
201404,   -0.19,   -4.19,    1.17,    0.00
201405,    2.06,   -1.88,   -0.13,    0.00
201406,    2.61,    3.09,   -0.70,    0.00
201407,   -2.04,   -4.29,    0.03,    0.00
201408,    4.24,    0.40,   -0.45,    0.00
201409,   -1.97,   -3.71,   -1.34,    0.00
201410,    2.52,    4.21,   -1.81,    0.00
201411,    2.55,   -2.06,   -3.09,    0.00
201412,   -0.06,    2.49,    2.27,    0.00
201501,   -3.11,   -0.56,   -3.58,    0.00
201502,    6.13,    0.63,   -1.86,    0.00
201503,   -1.12,    3.04,   -0.37,    0.00
201504,    0.59,   -3.06,    1.82,    0.00
201505,    1.36,    0.93,   -1.14,    0.00
201506,   -1.53,    2.91,   -0.79,    0.00
201507,    1.54,   -4.17,   -4.13,    0.00
201508,   -6.04,    0.33,    2.77,    0.00
201509,   -3.07,   -2.62,    0.56,    0.00
201510,    7.75,   -1.88,   -0.46,    0.00
201511,    0.56,    3.60,   -0.42,    0.00
201512,   -2.17,   -2.84,   -2.61,    0.01
201601,   -5.77,   -3.42,    2.09,    0.01
201602,   -0.07,    0.73,   -0.57,    0.02
201603,    6.96,    0.82,    1.19,    0.02
201604,    0.91,    0.76,    3.28,    0.01
201605,    1.78,   -0.17,   -1.66,    0.01
201606,   -0.05,    0.61,   -1.48,    0.02
201607,    3.95,    2.49,   -1.32,    0.02
201608,    0.49,    1.15,    3.18,    0.02
201609,    0.25,    2.12,   -1.24,    0.02
201610,   -2.02,   -4.40,    4.09,    0.02
201611,    4.86,    5.71,    8.21,    0.01
201612,    1.82,    0.10,    3.53,    0.03
201701,    1.94,   -1.19,   -2.75,    0.04
201702,    3.57,   -2.05,   -1.67,    0.04
201703,    0.17,    1.14,   -3.35,    0.03
201704,    1.09,    0.73,   -2.13,    0.05
201705,    1.06,   -2.57,   -3.78,    0.06
201706,    0.78,    2.25,    1.48,    0.06
201707,    1.87,   -1.51,   -0.31,    0.07
201708,    0.16,   -1.67,   -2.09,    0.09
201709,    2.51,    4.47,    3.14,    0.09
201710,    2.25,   -1.94,    0.20,    0.09
201711,    3.12,   -0.55,   -0.03,    0.08
201712,    1.06,   -1.32,    0.06,    0.09
201801,    5.57,   -3.13,   -1.29,    0.12
201802,   -3.65,    0.25,   -1.04,    0.11
201803,   -2.35,    4.06,   -0.21,    0.11
201804,    0.28,    1.13,    0.54,    0.14
201805,    2.65,    5.25,   -3.20,    0.14
201806,    0.48,    1.14,   -2.34,    0.14
201807,    3.19,   -2.22,    0.47,    0.16
201808,    3.44,    1.14,   -3.94,    0.16
201809,    0.06,   -2.27,   -1.70,    0.15
201810,   -7.68,   -4.78,    3.40,    0.19
201811,    1.69,   -0.68,    0.30,    0.18
201812,   -9.57,   -2.38,   -1.84,    0.20
201901,    8.40,    2.90,   -0.46,    0.21
201902,    3.40,    2.05,   -2.67,    0.18
201903,    1.10,   -3.05,   -4.17,    0.19
201904,    3.97,   -1.74,    2.15,    0.21
201905,   -6.94,   -1.32,   -2.37,    0.21
201906,    6.93,    0.29,   -0.71,    0.18
201907,    1.19,   -1.93,    0.48,    0.19
201908,   -2.58,   -2.38,   -4.78,    0.16
201909,    1.43,   -0.96,    6.75,    0.18
201910,    2.06,    0.29,   -1.91,    0.16
201911,    3.87,    0.77,   -2.02,    0.12
201912,    2.77,    0.73,    1.75,    0.14
202001,   -0.11,   -3.11,   -6.25,    0.13
202002,   -8.13,    1.07,   -3.81,    0.12
202003,  -13.39,   -4.83,  -13.87,    0.13
202004,   13.65,    2.45,   -1.33,    0.00
202005,    5.58,    2.47,   -4.88,    0.01
202006,    2.46,    2.69,   -2.20,    0.01
202007,    5.77,   -2.33,   -1.41,    0.01
202008,    7.63,   -0.22,   -2.97,    0.01
202009,   -3.63,    0.02,   -2.71,    0.01
202010,   -2.10,    4.38,    4.25,    0.01
202011,   12.47,    5.80,    2.09,    0.01
202012,    4.63,    4.89,   -1.51,    0.01
202101,   -0.03,    7.36,    3.01,    0.01
202102,    2.78,    2.05,    7.15,    0.00
202103,    3.08,   -2.37,    7.39,    0.00
202104,    4.93,   -3.19,   -0.95,    0.00
202105,    0.29,   -0.25,    7.09,    0.00
202106,    2.75,    1.68,   -7.87,    0.00
202107,    1.27,   -3.97,   -1.78,    0.00
202108,    2.91,   -0.42,   -0.15,    0.00
202109,   -4.37,    0.71,    5.08,    0.00
202110,    6.65,   -2.35,   -0.49,    0.00
202111,   -1.55,   -1.32,   -0.45,    0.00
202112,    3.10,   -1.67,    3.26,    0.01
202201,   -6.25,   -5.94,   12.75,    0.00
202202,   -2.29,    2.19,    3.08,    0.00
202203,    3.05,   -1.61,   -1.81,    0.01
202204,   -9.46,   -1.39,    6.17,    0.01
202205,   -0.34,   -1.83,    8.39,    0.03
202206,   -8.43,    2.10,   -5.97,    0.06
202207,    9.57,    2.81,   -4.05,    0.08
202208,   -3.77,    1.40,    0.29,    0.19
202209,   -9.35,   -0.81,    0.05,    0.19
202210,    7.83,    0.06,    8.01,    0.23
202211,    4.60,   -3.52,    1.38,    0.29
202212,   -6.41,   -0.69,    1.37,    0.33
202301,    6.65,    5.01,   -4.01,    0.35
202302,   -2.58,    1.17,   -0.81,    0.34
202303,    2.51,   -5.51,   -8.85,    0.36
202304,    0.61,   -3.35,   -0.04,    0.35
202305,    0.35,    1.61,   -7.72,    0.36
202306,    6.46,    1.54,   -0.26,    0.40
202307,    3.21,    2.08,    4.11,    0.45
202308,   -2.39,   -3.16,   -1.06,    0.45
202309,   -5.24,   -2.51,    1.52,    0.43
202310,   -3.19,   -3.87,    0.19,    0.47
202311,    8.84,   -0.02,    1.64,    0.44
202312,    4.85,    6.35,    4.94,    0.43
